step,obs_mean_r,obs_mean_g,obs_mean_b,road_offset,action_steering,action_gas,action_brake,reward,cumulative_reward,terminated
348,117,131,89,0.3544,0.319,0.7329,0.0,0.381,165.6415,False
349,120,131,80,0.3749,0.1969,0.6743,0.0,0.3721,166.0136,False
350,108,141,93,0.39,0.3226,0.6852,0.0041,0.4084,166.4219,False
351,109,136,80,0.4197,0.2522,0.7112,0.0038,0.4913,166.9132,False
352,118,135,83,0.3895,0.3688,0.6637,0.0048,0.3915,167.3047,False
353,115,133,87,0.4241,0.3024,0.6528,0.0104,0.3746,167.6793,False
354,117,134,89,0.3871,0.2984,0.6284,0.0001,0.3164,167.9957,False
355,106,139,84,0.3544,0.2906,0.6137,0.0053,0.4021,168.3978,False
356,118,138,86,0.4535,0.2244,0.7657,0.0,0.5005,168.8984,False
357,109,129,93,0.3479,0.2219,0.7721,0.023,0.4491,169.3475,False
358,115,148,94,0.2936,0.2828,0.7066,0.0286,0.4678,169.8152,False
359,111,144,95,0.3957,0.3488,0.6368,0.0,0.3851,170.2003,False
360,108,127,99,0.3501,0.2795,0.6313,0.0,0.3225,170.5228,False
361,105,144,93,0.3682,0.1952,0.7652,0.0007,0.4778,171.0006,False
362,106,147,90,0.2591,0.2295,0.6798,0.0,0.3848,171.3853,False
363,114,140,94,0.3008,0.2684,0.6739,0.0359,0.5306,171.9159,False
364,109,138,94,0.1666,0.1278,0.7563,0.0045,0.5124,172.4283,False
365,109,147,93,0.2658,0.2728,0.6921,0.0,0.4221,172.8504,False
366,114,142,92,0.2063,0.1137,0.7571,0.0119,0.5123,173.3627,False
367,104,148,88,0.134,0.0699,0.8129,0.0054,0.6088,173.9715,False
368,119,153,86,0.2412,0.0318,0.8076,0.0061,0.5372,174.5086,False
369,106,148,93,0.0871,0.1205,0.8118,0.0362,0.5019,175.0105,False
370,118,143,94,0.0702,0.0715,0.8519,0.007,0.613,175.6235,False
371,116,143,89,0.1724,0.0284,0.8387,0.0,0.558,176.1815,False
372,119,140,94,0.1717,0.0232,0.8557,0.0,0.5276,176.7091,False
373,116,146,102,0.1807,0.0832,0.889,0.0,0.5355,177.2446,False
374,126,141,83,0.1587,0.1667,0.7114,0.0261,0.5206,177.7652,False
375,117,142,95,0.1852,0.1209,0.7342,0.0,0.4758,178.2409,False
376,122,139,92,0.1366,0.0542,0.848,0.0,0.5408,178.7817,False
377,114,146,95,0.0856,0.0038,0.9258,0.0,0.6283,179.4101,False
378,119,148,91,0.0795,-0.0034,0.8377,0.0199,0.61,180.0201,False
379,126,134,93,0.0605,-0.0707,0.8802,0.0109,0.5789,180.599,False
380,117,148,94,0.0813,-0.0115,0.8475,0.0,0.5038,181.1028,False
381,120,149,93,0.0039,-0.0613,0.7891,0.0,0.5384,181.6412,False
382,123,144,86,0.0687,0.0925,0.7595,0.0,0.5542,182.1953,False
383,115,158,93,0.0406,0.0205,0.8639,0.0,0.6451,182.8404,False
384,108,153,87,0.0525,-0.0102,0.8078,0.0,0.5167,183.3572,False
385,120,143,97,0.0469,0.1737,0.7577,0.0153,0.5436,183.9007,False
386,123,151,84,-0.0949,-0.111,0.8523,0.0251,0.5758,184.4765,False
387,112,155,99,-0.0222,0.0534,0.8084,0.0,0.6007,185.0773,False
388,123,150,96,0.0132,0.1071,0.8436,0.0249,0.5875,185.6648,False
389,123,151,96,0.012,-0.0852,0.7546,0.0,0.4148,186.0796,False
390,108,150,83,0.0244,0.0228,0.8161,0.0245,0.6368,186.7164,False
391,114,138,93,0.0237,-0.0133,0.7864,0.0008,0.5297,187.2461,False
392,116,146,99,0.082,0.0255,0.8389,0.0027,0.5961,187.8423,False
393,118,148,92,0.0198,0.0482,0.8547,0.0074,0.5093,188.3516,False
394,116,156,89,-0.013,-0.0472,0.8271,0.0,0.5799,188.9314,False
395,114,149,90,-0.0785,-0.0886,0.8503,0.0239,0.6221,189.5536,False
396,127,146,93,-0.0677,-0.0609,0.7865,0.0,0.6169,190.1704,False
397,118,148,90,0.0271,-0.0021,0.8579,0.0,0.656,190.8264,False
398,115,153,100,0.0533,-0.0305,0.8121,0.0105,0.5729,191.3993,False
399,118,146,93,0.0776,0.106,0.8062,0.0,0.4518,191.8511,False
400,121,145,91,-0.0403,0.0327,0.8522,0.0156,0.5834,192.4346,False
401,119,148,88,-0.0132,0.0107,0.8674,0.0275,0.5627,192.9973,False
402,118,154,97,0.0152,-0.0112,0.801,0.0203,0.5509,193.5481,False
403,114,149,95,0.1068,0.0378,0.7936,0.0,0.4684,194.0166,False
404,116,149,90,0.0117,-0.0334,0.8034,0.0025,0.5272,194.5438,False
405,115,148,82,0.0852,0.2053,0.7275,0.0206,0.4253,194.9691,False
406,121,146,96,0.018,0.0697,0.8151,0.0,0.5142,195.4834,False
407,113,146,93,0.0691,0.0014,0.8776,0.0145,0.5749,196.0583,False
408,120,144,95,0.0647,0.0584,0.7839,0.0133,0.5116,196.5699,False
409,126,147,104,0.0237,-0.0039,0.7838,0.0,0.5407,197.1106,False
410,120,155,94,-0.0335,0.0099,0.9308,0.0167,0.5182,197.6289,False
411,118,144,92,0.0061,0.0372,0.7843,0.0055,0.403,198.0319,False
412,111,143,87,0.0959,0.137,0.8081,0.013,0.509,198.5409,False
413,126,141,92,0.0673,-0.0006,0.8509,0.0,0.5708,199.1117,False
414,114,142,95,0.0035,0.0089,0.8552,0.003,0.5922,199.704,False
415,124,148,95,0.0097,-0.0977,0.7962,0.0,0.486,200.1899,False
416,122,145,102,-0.0583,-0.1192,0.7691,0.0,0.4979,200.6878,False
417,116,155,95,0.1017,0.1293,0.7974,0.0028,0.5249,201.2126,False
418,117,146,93,0.0748,-0.0009,0.8319,0.022,0.5287,201.7413,False
419,110,155,91,0.0244,-0.0322,0.879,0.0051,0.649,202.3903,False
420,120,153,95,0.0417,0.0308,0.8558,0.0,0.5889,202.9792,False
421,121,146,89,-0.0767,-0.0158,0.8653,0.0,0.6172,203.5964,False
422,114,160,95,0.0073,-0.0582,0.7977,0.0,0.5329,204.1293,False
423,117,148,95,0.0978,-0.1355,0.766,0.0,0.5977,204.727,False
424,118,155,92,0.0793,0.0072,0.7985,0.0084,0.5675,205.2945,False
425,122,155,91,0.0454,0.1064,0.7774,0.0,0.4815,205.7761,False
426,119,151,83,0.0263,0.0403,0.7863,0.015,0.5641,206.3402,False
427,110,151,99,0.0647,0.128,0.8321,0.0039,0.4646,206.8048,False
428,117,152,96,0.0082,-0.0618,0.818,0.0063,0.5511,207.3559,False
429,119,142,96,-0.0641,-0.1464,0.7763,0.0178,0.515,207.871,False
430,123,149,86,0.0152,0.0392,0.8194,0.0,0.5562,208.4272,True
